Timestamp;Epoch_msecs;Code;Message
Fri Apr 21 18:11:25 2023;1682125885171;Highlight;Starting experiment 655.
Sat Apr 22 00:06:57 2023;1682147217209;Highlight;Experiment 655 complete.
