timestamp;epochtime;elapsedsecs;Ftmw.Shots
Fri Apr 21 18:11:25 2023;1682125885;0;0
Fri Apr 21 18:16:24 2023;1682126184;299;29880
Fri Apr 21 18:21:24 2023;1682126484;599;59880
Fri Apr 21 18:26:24 2023;1682126784;899;89880
Fri Apr 21 18:31:24 2023;1682127084;1199;119880
Fri Apr 21 18:36:24 2023;1682127384;1499;149880
Fri Apr 21 18:41:24 2023;1682127684;1799;179880
Fri Apr 21 18:46:24 2023;1682127984;2099;209880
Fri Apr 21 18:51:24 2023;1682128284;2399;239880
Fri Apr 21 18:56:24 2023;1682128584;2699;269880
Fri Apr 21 19:01:24 2023;1682128884;2999;299880
Fri Apr 21 19:06:24 2023;1682129184;3299;329880
Fri Apr 21 19:11:24 2023;1682129484;3599;359880
Fri Apr 21 19:16:24 2023;1682129784;3899;389880
Fri Apr 21 19:21:24 2023;1682130084;4199;419880
Fri Apr 21 19:26:24 2023;1682130384;4499;449880
Fri Apr 21 19:31:24 2023;1682130684;4799;479880
Fri Apr 21 19:36:24 2023;1682130984;5099;509880
Fri Apr 21 19:41:24 2023;1682131284;5399;539880
Fri Apr 21 19:46:24 2023;1682131584;5699;569880
Fri Apr 21 19:51:24 2023;1682131884;5999;599880
Fri Apr 21 19:56:24 2023;1682132184;6299;629880
Fri Apr 21 20:01:24 2023;1682132484;6599;659880
Fri Apr 21 20:06:24 2023;1682132784;6899;689880
Fri Apr 21 20:11:24 2023;1682133084;7199;719880
Fri Apr 21 20:16:24 2023;1682133384;7499;749880
Fri Apr 21 20:21:24 2023;1682133684;7799;779880
Fri Apr 21 20:26:24 2023;1682133984;8099;809880
Fri Apr 21 20:31:24 2023;1682134284;8399;839880
Fri Apr 21 20:36:24 2023;1682134584;8699;869880
Fri Apr 21 20:41:24 2023;1682134884;8999;899880
Fri Apr 21 20:46:24 2023;1682135184;9299;929880
Fri Apr 21 20:51:24 2023;1682135484;9599;959880
Fri Apr 21 20:56:24 2023;1682135784;9899;989880
Fri Apr 21 21:01:24 2023;1682136084;10199;1019880
Fri Apr 21 21:06:24 2023;1682136384;10499;1049880
Fri Apr 21 21:11:24 2023;1682136684;10799;1079880
Fri Apr 21 21:16:24 2023;1682136984;11099;1109880
Fri Apr 21 21:21:24 2023;1682137284;11399;1139880
Fri Apr 21 21:26:24 2023;1682137584;11699;1169880
Fri Apr 21 21:31:24 2023;1682137884;11999;1199880
Fri Apr 21 21:36:24 2023;1682138184;12299;1229880
Fri Apr 21 21:41:24 2023;1682138484;12599;1259880
Fri Apr 21 21:46:24 2023;1682138784;12899;1289880
Fri Apr 21 21:51:24 2023;1682139084;13199;1319880
Fri Apr 21 21:56:24 2023;1682139384;13499;1349880
Fri Apr 21 22:01:24 2023;1682139684;13799;1379880
Fri Apr 21 22:06:24 2023;1682139984;14099;1409880
Fri Apr 21 22:11:24 2023;1682140284;14399;1439880
Fri Apr 21 22:16:24 2023;1682140584;14699;1469880
Fri Apr 21 22:21:24 2023;1682140884;14999;1499880
Fri Apr 21 22:26:24 2023;1682141184;15299;1529880
Fri Apr 21 22:31:24 2023;1682141484;15599;1559880
Fri Apr 21 22:36:24 2023;1682141784;15899;1589880
Fri Apr 21 22:41:24 2023;1682142084;16199;1619880
Fri Apr 21 22:46:24 2023;1682142384;16499;1649880
Fri Apr 21 22:51:24 2023;1682142684;16799;1679880
Fri Apr 21 22:56:24 2023;1682142984;17099;1709880
Fri Apr 21 23:01:24 2023;1682143284;17399;1739880
Fri Apr 21 23:06:24 2023;1682143584;17699;1769880
Fri Apr 21 23:11:24 2023;1682143884;17999;1799880
Fri Apr 21 23:16:24 2023;1682144184;18299;1829880
Fri Apr 21 23:21:24 2023;1682144484;18599;1859880
Fri Apr 21 23:26:24 2023;1682144784;18899;1889880
Fri Apr 21 23:31:24 2023;1682145084;19199;1919880
Fri Apr 21 23:36:24 2023;1682145384;19499;1949880
Fri Apr 21 23:41:24 2023;1682145684;19799;1979880
Fri Apr 21 23:46:24 2023;1682145984;20099;2009880
Fri Apr 21 23:51:24 2023;1682146284;20399;2039880
Fri Apr 21 23:56:24 2023;1682146584;20699;2069880
Sat Apr 22 00:01:24 2023;1682146884;20999;2099880
