Timestamp;Epoch_msecs;Code;Message
Mon Jan 30 17:23:38 2023;1675128218718;Highlight;Starting experiment 360.
Mon Jan 30 19:32:58 2023;1675135978883;Highlight;Experiment 360 complete.
