Timestamp;Epoch_msecs;Code;Message
Fri Jul 26 14:52:05 2024;1722030725482;Highlight;Starting experiment 1512.
Fri Jul 26 14:55:05 2024;1722030905513;Highlight;Experiment 1512 complete.
