Timestamp;Epoch_msecs;Code;Message
Thu Aug 31 13:36:11 2023;1693514171382;Highlight;Starting experiment 1019.
Thu Aug 31 18:01:17 2023;1693530077051;Highlight;Experiment 1019 complete.
