timestamp;epochtime;elapsedsecs;Ftmw.Shots
Thu Aug 31 13:36:11 2023;1693514171;0;0
Thu Aug 31 13:41:10 2023;1693514470;299;29820
Thu Aug 31 13:46:10 2023;1693514770;599;59820
Thu Aug 31 13:51:10 2023;1693515070;899;89820
Thu Aug 31 13:56:10 2023;1693515370;1199;119820
Thu Aug 31 14:01:10 2023;1693515670;1499;149820
Thu Aug 31 14:06:10 2023;1693515970;1799;179820
Thu Aug 31 14:11:10 2023;1693516270;2099;209820
Thu Aug 31 14:16:10 2023;1693516570;2399;239820
Thu Aug 31 14:21:10 2023;1693516870;2699;269820
Thu Aug 31 14:26:10 2023;1693517170;2999;299820
Thu Aug 31 14:31:10 2023;1693517470;3299;329820
Thu Aug 31 14:36:10 2023;1693517770;3599;359820
Thu Aug 31 14:41:10 2023;1693518070;3899;389820
Thu Aug 31 14:46:10 2023;1693518370;4199;419820
Thu Aug 31 14:51:10 2023;1693518670;4499;449820
Thu Aug 31 14:56:10 2023;1693518970;4799;479820
Thu Aug 31 15:01:10 2023;1693519270;5099;509820
Thu Aug 31 15:06:10 2023;1693519570;5399;539820
Thu Aug 31 15:11:10 2023;1693519870;5699;569820
Thu Aug 31 15:16:10 2023;1693520170;5999;599820
Thu Aug 31 15:21:10 2023;1693520470;6299;629820
Thu Aug 31 15:26:10 2023;1693520770;6599;659820
Thu Aug 31 15:31:10 2023;1693521070;6899;689820
Thu Aug 31 15:36:10 2023;1693521370;7199;719820
Thu Aug 31 15:41:10 2023;1693521670;7499;749820
Thu Aug 31 15:46:10 2023;1693521970;7799;779820
Thu Aug 31 15:51:10 2023;1693522270;8099;809820
Thu Aug 31 15:56:10 2023;1693522570;8399;839820
Thu Aug 31 16:01:10 2023;1693522870;8699;869820
Thu Aug 31 16:06:10 2023;1693523170;8999;899820
Thu Aug 31 16:11:10 2023;1693523470;9299;929820
Thu Aug 31 16:16:10 2023;1693523770;9599;959820
Thu Aug 31 16:21:10 2023;1693524070;9899;989820
Thu Aug 31 16:26:10 2023;1693524370;10199;1019820
Thu Aug 31 16:31:10 2023;1693524670;10499;1049820
Thu Aug 31 16:36:10 2023;1693524970;10799;1079820
Thu Aug 31 16:41:10 2023;1693525270;11099;1109820
Thu Aug 31 16:46:10 2023;1693525570;11399;1139820
Thu Aug 31 16:51:10 2023;1693525870;11699;1169820
Thu Aug 31 16:56:10 2023;1693526170;11999;1199820
Thu Aug 31 17:01:10 2023;1693526470;12299;1229820
Thu Aug 31 17:06:10 2023;1693526770;12599;1259820
Thu Aug 31 17:11:10 2023;1693527070;12899;1289820
Thu Aug 31 17:16:10 2023;1693527370;13199;1319820
Thu Aug 31 17:21:10 2023;1693527670;13499;1349820
Thu Aug 31 17:26:10 2023;1693527970;13799;1379820
Thu Aug 31 17:31:10 2023;1693528270;14099;1409820
Thu Aug 31 17:36:10 2023;1693528570;14399;1439820
Thu Aug 31 17:41:10 2023;1693528870;14699;1469820
Thu Aug 31 17:46:10 2023;1693529170;14999;1499820
Thu Aug 31 17:51:10 2023;1693529470;15299;1529820
Thu Aug 31 17:56:10 2023;1693529770;15599;1559820
