Timestamp;Epoch_msecs;Code;Message
Thu Jan 4 16:07:35 2024;1704413255873;Highlight;Starting experiment 1231.
Thu Jan 4 16:20:04 2024;1704414004629;Highlight;Experiment 1231 complete.
