species,tag,predicted,freq_mhz,unc_mhz,log_intensity,qn
v0_main,53515,False,37939.8948,0.0002,-5.7018,4 2 3 3     3 2 2 2
v0_main,53515,False,37951.2006,0.0005,-7.0092,4 3 2 3     3 3 1 3
v0_main,53515,False,37951.2996,0.0005,-7.0092,4 3 1 3     3 3 0 3
v0_main,53515,False,37951.7759,0.0002,-5.8331,4 3 2 4     3 3 1 3
v0_main,53515,False,37951.875,0.0002,-5.8331,4 3 1 4     3 3 0 3
v0_main,53515,False,37952.7718,0.0014,-8.8082,4 3 2 3     3 3 1 4
v0_main,53515,False,37952.8709,0.0014,-8.8082,4 3 1 3     3 3 0 4
v0_main,53515,False,37952.9025,0.0002,-5.7179,4 3 2 5     3 3 1 4
v0_main,53515,False,37953.0015,0.0002,-5.7179,4 3 1 5     3 3 0 4
v0_main,53515,False,37953.3379,0.0003,-5.9512,4 3 2 3     3 3 1 2
v0_main,53515,False,37953.3472,0.0008,-7.0092,4 3 2 4     3 3 1 4
v0_main,53515,False,37953.437,0.0003,-5.9512,4 3 1 3     3 3 0 2
v0_main,53515,False,37953.4462,0.0008,-7.0092,4 3 1 4     3 3 0 4
v0_main,53515,False,37973.9834,0.0004,-6.759,4 2 2 4     3 2 1 4
v0_main,53515,False,37973.9876,0.0002,-5.5829,4 2 2 4     3 2 1 3
v0_main,53515,False,37974.5038,0.0002,-5.4677,4 2 2 5     3 2 1 4
v0_main,53515,False,37974.6242,0.0008,-8.5581,4 2 2 3     3 2 1 4
v0_main,53515,False,37974.6284,0.0003,-6.759,4 2 2 3     3 2 1 3
v0_main,53515,False,37974.6349,0.0002,-5.701,4 2 2 3     3 2 1 2
15N,54509,False,38598.881,1.1161,-6.4298,50 446      50 447
13C_b,54507,False,38656.2498,0.0014,-6.3829,4 1 3 4     3 1 2 4
13C_b,54507,False,38657.1343,0.0005,-5.2068,4 1 3 4     3 1 2 3
13C_b,54507,False,38657.2401,0.0005,-5.3249,4 1 3 3     3 1 2 2
13C_b,54507,False,38657.2851,0.0005,-5.0917,4 1 3 5     3 1 2 4
13C_b,54507,False,38658.4257,0.0019,-6.3829,4 1 3 3     3 1 2 3
13C_c,54508,False,38671.6377,0.0006,-6.3771,4 1 3 4     3 1 2 4
13C_c,54508,False,38672.519,0.0005,-5.201,4 1 3 4     3 1 2 3
13C_c,54508,False,38672.6243,0.0005,-5.3191,4 1 3 3     3 1 2 2
13C_c,54508,False,38672.6692,0.0005,-5.0858,4 1 3 5     3 1 2 4
13C_c,54508,False,38673.8054,0.0011,-6.377,4 1 3 3     3 1 2 3
15N,54509,False,38726.3191,0.3824,-6.3344,12 210      13 113
v0_main,53515,False,38846.758,0.0004,-6.6331,4 1 3 4     3 1 2 4
v0_main,53515,False,38847.6401,0.0002,-5.457,4 1 3 4     3 1 2 3
v0_main,53515,False,38847.7455,0.0002,-5.5751,4 1 3 3     3 1 2 2
v0_main,53515,False,38847.7904,0.0002,-5.3418,4 1 3 5     3 1 2 4
v0_main,53515,False,38848.0456,0.0008,-8.4322,4 1 3 3     3 1 2 4
v0_main,53515,False,38848.9277,0.0004,-6.633,4 1 3 3     3 1 2 3
15N,54509,False,38860.7962,0.0463,-6.0205,24 222      24 223
15N,54509,False,38911.9957,5.1977,-6.1272,29 425      30 328
15N,54509,False,39229.2712,0.0257,-6.1457,13 112      13 113
15N,54509,False,39297.3664,4.9673,-6.2625,40 338      39 435
v0_main,53515,False,39834.9324,0.0009,-8.948,8 2 7 8     9 1 8 8
v0_main,53515,False,39836.1863,0.0007,-6.996,8 2 7 9     9 1 810
v0_main,53515,False,39836.1879,0.0007,-7.0939,8 2 7 7     9 1 8 8
v0_main,53515,False,39836.2995,0.0004,-7.0449,8 2 7 8     9 1 8 9
v0_main,53515,False,39837.4334,0.0007,-8.9479,8 2 7 9     9 1 8 9
